"","title","link"
"1","Szinte biztos, hogy magyar származású lesz az USA külügyminisztere","https://24.hu/kulfold/2020/11/23/antony-blinken-usa-kulugyminiszter-joe-biden/"
"2","Jövo júliustól már nem Michael Ignatieff lesz a CEU rektora","https://24.hu/kozelet/2020/06/23/jovo-juliustol-mar-nem-michael-ignatieff-lesz-a-ceu-rektora/"
"3","Ascher Tamás: A mi egyetemünk minden üldöztetés ellenére is jobb és sikeresebb, mint a riválisé","https://24.hu/kultura/2020/07/03/ascher-tamas-interju-szinhaz-es-filmmuveszeti-egyetem-szfe/"
"4","A nap legfontosabb hírei – 2020. június 23.","https://24.hu/fn/gazdasag/2020/06/23/a-nap-legfontosabb-hirei-2020-junius-23/"
"5","Az elmúlt 24 órában nem volt spanyol halálos áldozata a járványnak","https://24.hu/kulfold/2020/06/01/koronavirus-spanyolorszag-nem-volt-halalos-aldozat/"
"6","A Facebook felett bíráskodik, de nincs saját fiókja a Facebook-bizottság magyar tagjának","https://24.hu/tech/2020/05/21/sajo-andras-facebook-ellenorzo-bizottsag-tag-fiok/"
"7","Koronavírus: egy láthatatlan ellenséggel küzdünk","https://24.hu/tudomany/2020/05/02/ceu-hatartalan-tudas-koronavirus-lathatatlan-betegseg-vilagjarvany-szocialis-izolacio-pestis/"
"8","Lantos Gabriella: Tanárok és orvosok halálközeli élményei pandémia idején","https://24.hu/belfold/2020/05/20/lantos-gabriella-tanarok-es-orvosok-halalkozeli-elmenyei-pandemia-idejen/"
"9","Sajó András: Nem a Facebookkal van gond, hanem azokkal, akik használják","https://24.hu/tech/2020/05/15/sajo-andras-facebook-ellenorzo-bizottsag-oversight-board-interju-kozossegi-media/"
"10","EU-fotanácsnok: jogsérto volt a lex CEU","https://24.hu/kulfold/2020/03/05/ceu-europai-unio-europai-birosag-jogsertes/"
"11","Végre lehet hova fordulnunk, ha gondunk van a Facebookkal","https://24.hu/kulfold/2020/05/07/vegre-lehet-hova-fordulnunk-ha-gondunk-van-a-facebookkal/"
"12","Koronavírus: ismét 300 alatt az új áldozatok száma Spanyolországban","https://24.hu/kulfold/2020/04/30/covid-19-koronavirus-spanyolorszag-uj-aldozatok-szama/"
"13","Bozóki: Orbánnál bármelyik ellenzéki jobb lenne","https://24.hu/kozelet/2020/04/27/bozoki-orbannal-barmelyik-ellenzeki-jobb-lenne/"
"14","CEU-professzor: Ez a mostani életem legszomorúbb része, amit felépítettünk, azt kiszorították","https://24.hu/belfold/2020/02/02/ceu-professzor-klaniczay-gabor/"
"15","Utcákat és lakótelepet is neveztek el róla, pedig sosem létezett","https://24.hu/kultura/2020/04/24/guszev-utca-tiszt-illes-bela-mikus-bela-kadar-rakosi-kor-szocializmus-ismeretlen-budapest/"
"16","„Nem volt ránk szükség Magyarországon”","https://24.hu/kulfold/2020/04/01/podcast-kilepok-peterfy-gergely-spanyolorszag-saringer-attila-gyerekorvos/"
